qb_name,total_plays,third_down_attempts,third_down_conversions,third_down_conversion_rate,rank
J.Love,557,148,70,47.3,1
J.Allen,720,193,90,46.63,2
J.Herbert,697,198,85,42.93,3
B.Nix,780,222,92,41.44,4
T.Lawrence,723,181,74,40.88,5
D.Maye,724,186,76,40.86,6
C.Stroud,585,164,66,40.24,7
D.Prescott,687,177,70,39.55,8
C.Williams,774,196,76,38.78,9
J.Brissett,569,131,50,38.17,10
B.Mayfield,640,181,69,38.12,11
J.Goff,635,172,65,37.79,12
S.Darnold,560,147,55,37.41,13
M.Stafford,741,176,65,36.93,14
G.Smith,546,152,55,36.18,15
P.Mahomes,603,141,50,35.46,16
J.Hurts,634,178,62,34.83,17
B.Young,607,159,52,32.7,18
A.Rodgers,587,170,53,31.18,19
C.Ward,634,180,52,28.89,20
