qb_name,total_dropbacks,pressure_plays,pressure_rate,completion_pct_under_pressure,pass_attempts_under_pressure,completions_under_pressure,overall_completion_pct,sacks,sack_rate,turnovers_under_pressure,turnover_worthy_rate,epa_under_pressure,success_rate_pressure,scrambles,estimated_time_to_throw,avg_air_yards
A.Dalton,168,18,10.71,33.33,18,6,63.1,7,4.17,0,0.0,-0.272,33.33,0,2.35,6.64
A.O'Connell,254,29,11.42,31.03,29,9,60.63,10,3.94,0,0.0,-0.6745,27.59,0,2.39,7.91
A.Richardson,277,44,15.88,22.73,44,10,45.49,14,5.05,2,4.55,-0.6966,15.91,0,2.52,12.21
A.Rodgers,627,92,14.67,23.91,92,22,58.69,40,6.38,2,2.17,-0.6368,19.57,0,2.36,6.87
B.Mayfield,631,58,9.19,17.24,58,10,66.88,41,6.5,4,6.9,-1.207,13.79,0,2.36,6.99
B.Nix,615,60,9.76,23.33,60,14,63.25,26,4.23,3,5.0,-0.7424,20.0,0,2.37,7.43
B.Purdy,482,63,13.07,23.81,63,15,62.24,31,6.43,3,4.76,-0.77,17.46,0,2.41,8.58
B.Young,414,65,15.7,24.62,65,16,56.52,29,7.0,4,6.15,-0.8434,21.54,0,2.41,8.74
C.Rush,321,32,9.97,25.0,32,8,58.26,13,4.05,2,6.25,-1.0205,25.0,0,2.36,6.94
C.Stroud,655,122,18.63,21.31,122,26,57.56,63,9.62,1,0.82,-0.7864,16.39,0,2.4,8.45
C.Williams,636,104,16.35,8.65,104,9,55.19,68,10.69,4,3.85,-1.2244,7.69,0,2.39,7.98
D.Carr,290,27,9.31,37.04,27,10,65.17,8,2.76,1,3.7,0.1062,33.33,0,2.38,7.81
D.Jones,371,70,18.87,24.29,70,17,58.22,29,7.82,2,2.86,-0.7327,21.43,0,2.37,7.36
D.Lock,193,36,18.65,27.78,36,10,55.44,12,6.22,3,8.33,-1.253,25.0,0,2.33,6.12
D.Maye,374,57,15.24,26.32,57,15,60.16,34,9.09,4,7.02,-1.109,19.3,0,2.37,7.32
D.Prescott,307,47,15.31,29.79,47,14,60.26,21,6.84,2,4.26,-0.8082,19.15,0,2.39,7.94
D.Thompson-Robinson,126,27,21.43,18.52,27,5,48.41,8,6.35,3,11.11,-1.2959,14.81,0,2.33,6.02
D.Watson,250,70,28.0,20.0,70,14,54.8,33,13.2,2,2.86,-0.986,14.29,0,2.37,7.26
G.Minshew,333,56,16.82,17.86,56,10,60.96,29,8.71,5,8.93,-1.153,14.29,0,2.33,6.04
G.Smith,629,105,16.69,22.86,105,24,64.71,50,7.95,8,7.62,-1.1796,15.24,0,2.36,6.91
J.Allen,586,64,10.92,21.88,64,14,62.29,19,3.24,1,1.56,-0.4041,21.88,0,2.4,8.31
J.Brissett,179,44,24.58,20.45,44,9,53.07,18,10.06,1,2.27,-0.9563,20.45,0,2.35,6.79
J.Burrow,701,122,17.4,32.79,122,40,65.62,48,6.85,7,5.74,-0.679,30.33,0,2.36,7.08
J.Daniels,648,77,11.88,15.58,77,12,62.65,51,7.87,2,2.6,-0.933,14.29,0,2.37,7.2
J.Fields,178,34,19.1,23.53,34,8,59.55,16,8.99,1,2.94,-0.7766,20.59,0,2.38,7.75
J.Flacco,267,35,13.11,22.86,35,8,60.67,18,6.74,3,8.57,-1.2679,14.29,0,2.42,8.93
J.Goff,607,93,15.32,27.96,93,26,68.04,33,5.44,3,3.23,-0.7419,21.51,0,2.34,6.45
J.Herbert,581,111,19.1,30.63,111,34,59.55,45,7.75,2,1.8,-0.6416,20.72,0,2.42,8.84
J.Hurts,503,73,14.51,19.18,73,14,62.23,51,10.14,3,4.11,-1.2314,12.33,0,2.38,7.59
J.Love,477,67,14.05,26.87,67,18,60.38,16,3.35,5,7.46,-0.9222,16.42,0,2.41,8.81
J.Winston,326,49,15.03,20.41,49,10,55.52,24,7.36,3,6.12,-0.9626,18.37,0,2.42,8.92
K.Cousins,478,77,16.11,28.57,77,22,63.39,28,5.86,6,7.79,-0.9134,22.08,0,2.37,7.45
K.Murray,570,50,8.77,24.0,50,12,65.26,30,5.26,2,4.0,-0.9577,22.0,0,2.35,6.83
L.Jackson,544,59,10.85,22.03,59,13,64.34,26,4.78,1,1.69,-0.772,20.34,0,2.41,8.63
M.Jones,279,31,11.11,12.9,31,4,61.29,14,5.02,4,12.9,-1.1664,9.68,0,2.37,7.36
M.Penix,109,11,10.09,0.0,11,0,55.96,4,3.67,0,0.0,-0.9073,0.0,0,2.46,10.22
M.Rudolph,237,34,14.35,20.59,34,7,61.6,11,4.64,1,2.94,-0.9882,14.71,0,2.36,7.15
M.Stafford,624,100,16.03,21.0,100,21,61.7,35,5.61,5,5.0,-0.8322,16.0,0,2.38,7.67
P.Mahomes,714,130,18.21,27.69,130,36,62.61,47,6.58,4,3.08,-0.6046,23.85,0,2.34,6.43
R.Wilson,401,82,20.45,24.39,82,20,58.35,37,9.23,2,2.44,-0.7447,15.85,0,2.39,7.98
S.Darnold,643,109,16.95,17.43,109,19,60.03,57,8.86,4,3.67,-1.1136,15.6,0,2.41,8.59
S.Rattler,250,39,15.6,17.95,39,7,52.0,22,8.8,4,10.26,-1.3404,15.38,0,2.39,8.04
T.Huntley,149,30,20.13,16.67,30,5,57.72,15,10.07,2,6.67,-1.235,6.67,0,2.38,7.79
T.Lawrence,305,36,11.8,16.67,36,6,56.39,18,5.9,1,2.78,-1.1869,13.89,0,2.43,9.36
T.Tagovailoa,421,29,6.89,20.69,29,6,69.12,21,4.99,3,10.34,-1.3453,17.24,0,2.32,5.69
W.Levis,344,75,21.8,21.33,75,16,55.23,41,11.92,6,8.0,-1.0224,16.0,0,2.41,8.71
