qb_name,team,total_drives,drives_with_points,drives_ending_in_points_pct,total_points,games,points_per_game,total_plays,success_rate,avg_epa,pass_attempts,completions,completion_rate,touchdowns,interceptions
A.Dalton,CAR,9,2,22.22,8,6,1.33,33,48.48,0.1404,27,19,70.37,3,1
A.O'Connell,LV,11,4,36.36,23,8,2.88,39,41.03,0.0046,31,21,67.74,3,1
A.Richardson,IND,15,8,53.33,68,9,7.56,55,34.55,0.1894,38,13,34.21,4,2
A.Rodgers,NYJ,18,5,27.78,48,15,3.2,85,34.12,0.117,78,38,48.72,5,2
B.Mayfield,TB,15,6,40.0,49,18,2.72,116,37.93,-0.0068,101,56,55.45,7,4
B.Nix,DEN,17,5,29.41,59,18,3.28,116,39.66,0.0194,87,53,60.92,3,1
B.Purdy,SF,14,4,28.57,24,15,1.6,102,39.22,-0.0788,87,45,51.72,2,2
B.Young,CAR,10,6,60.0,71,12,5.92,81,40.74,0.1709,72,38,52.78,4,1
C.Rush,DAL,9,4,44.44,36,10,3.6,73,30.14,-0.1357,59,27,45.76,1,1
C.Stroud,HOU,19,5,26.32,42,18,2.33,119,35.29,-0.0541,96,43,44.79,4,2
C.Williams,CHI,14,2,14.29,31,17,1.82,133,39.85,0.0171,113,57,50.44,4,1
D.Carr,NO,9,0,0.0,0,10,0.0,45,37.78,-0.1715,40,22,55.0,2,1
D.Jones,NYG,13,4,30.77,41,9,4.56,82,43.9,-0.0386,66,34,51.52,3,3
D.Lock,NYG,11,0,0.0,0,5,0.0,41,29.27,-0.4145,35,13,37.14,0,2
D.Maye,NE,13,4,30.77,36,11,3.27,70,44.29,0.1203,64,36,56.25,6,1
D.Prescott,DAL,8,2,25.0,11,8,1.38,44,47.73,-0.0857,40,21,52.5,1,2
D.Thompson-Robinson,CLE,7,0,0.0,0,4,0.0,22,31.82,-0.6049,20,8,40.0,0,1
D.Watson,CLE,10,0,0.0,0,6,0.0,24,20.83,-0.5204,20,8,40.0,0,1
G.Minshew,LV,13,0,0.0,0,9,0.0,53,35.85,-0.4564,48,25,52.08,1,2
G.Smith,SEA,17,8,47.06,50,16,3.12,122,41.8,0.2706,100,60,60.0,8,2
J.Allen,BUF,14,7,50.0,43,18,2.39,124,39.52,0.1541,95,47,49.47,8,0
J.Brissett,NE,9,2,22.22,15,7,2.14,38,26.32,-0.2174,33,11,33.33,0,0
J.Burrow,CIN,17,6,35.29,36,15,2.4,113,40.71,0.2804,98,53,54.08,11,1
J.Daniels,WAS,18,9,50.0,92,19,4.84,102,47.06,0.2566,74,49,66.22,8,2
J.Fields,PIT,8,4,50.0,40,8,5.0,37,45.95,-0.1697,24,13,54.17,1,0
J.Flacco,IND,9,2,22.22,13,7,1.86,42,35.71,-0.2348,39,18,46.15,1,0
J.Goff,DET,15,8,53.33,101,17,5.94,117,40.17,-0.0403,95,55,57.89,4,3
J.Herbert,LAC,15,7,46.67,62,17,3.65,108,35.19,-0.0449,79,39,49.37,2,1
J.Hurts,PHI,17,8,47.06,84,18,4.67,118,38.98,0.133,73,44,60.27,8,1
J.Love,GB,12,5,41.67,60,14,4.29,65,43.08,-0.1773,56,34,60.71,4,4
J.Winston,CLE,12,5,41.67,45,10,4.5,66,39.39,-0.1336,63,34,53.97,6,3
K.Cousins,ATL,12,6,50.0,42,14,3.0,105,42.86,-0.0879,94,53,56.38,3,3
K.Murray,ARI,11,6,54.55,46,16,2.88,108,46.3,-0.0263,94,56,59.57,3,3
L.Jackson,BAL,15,6,40.0,43,18,2.39,148,50.0,0.2783,119,74,62.18,12,0
M.Jones,JAX,13,2,15.38,18,9,2.0,64,42.19,-0.1542,58,37,63.79,0,3
M.Penix,ATL,5,3,60.0,22,3,7.33,26,50.0,0.4352,24,13,54.17,2,1
M.Rudolph,TEN,11,3,27.27,8,8,1.0,51,31.37,-0.115,47,21,44.68,1,2
M.Stafford,LA,19,6,31.58,71,18,3.94,114,34.21,-0.1343,95,49,51.58,4,3
P.Mahomes,KC,17,9,52.94,54,19,2.84,122,34.43,0.0299,92,52,56.52,6,3
R.Wilson,PIT,12,1,8.33,6,12,0.5,74,33.78,-0.1618,58,32,55.17,1,0
S.Darnold,MIN,16,1,6.25,6,17,0.35,94,28.72,-0.215,69,34,49.28,1,0
S.Rattler,NO,9,2,22.22,13,7,1.86,69,40.58,-0.0778,67,38,56.72,1,1
T.Huntley,MIA,8,1,12.5,4,5,0.8,28,32.14,-0.299,26,15,57.69,0,1
T.Lawrence,JAX,12,1,8.33,7,9,0.78,48,39.58,-0.0858,44,21,47.73,1,2
T.Tagovailoa,MIA,14,5,35.71,27,11,2.45,69,47.83,0.0668,61,40,65.57,2,2
W.Levis,TEN,12,1,8.33,6,10,0.6,53,24.53,-0.2984,48,18,37.5,2,3
