qb_name,attempts,completions,completion_pct,passing_yards,yards_per_attempt,pass_tds,interceptions,td_int_ratio,sacks,passer_rating
K.Murray,158,110,69.62,962,6.09,6,3,2.0,16,90.22
S.Rattler,249,174,69.88,1586,6.37,8,5,1.6,18,89.2
J.Allen,521,372,71.4,4224,8.11,29,12,2.42,44,104.32
L.Jackson,293,192,65.53,2549,8.7,21,7,3.0,36,106.88
T.Lawrence,573,359,62.65,4214,7.35,32,14,2.29,42,93.37
B.Young,504,325,64.48,3275,6.5,24,12,2.0,29,88.85
J.Burrow,254,173,68.11,1809,7.12,17,5,3.4,17,102.62
J.Flacco,402,251,62.44,2479,6.17,15,10,1.5,18,81.88
D.Prescott,587,404,68.82,4552,7.75,30,10,3.0,31,101.69
J.Hurts,481,314,65.28,3392,7.05,26,6,4.33,33,98.69
J.Love,478,315,65.9,3704,7.75,27,6,4.5,22,102.89
J.Goff,568,393,69.19,4564,8.04,34,8,4.25,38,107.31
C.Stroud,486,314,64.61,3503,7.21,21,13,1.62,29,89.21
M.Stafford,669,432,64.57,5269,7.88,49,9,5.44,28,107.52
P.Mahomes,489,315,64.42,3587,7.34,22,11,2.0,34,91.95
J.Herbert,530,359,67.74,3886,7.33,26,13,2.0,60,95.21
G.Smith,429,302,70.4,3025,7.05,19,17,1.12,55,88.38
D.Maye,538,387,71.93,4841,9.0,35,10,3.5,57,113.46
D.Jones,374,261,69.79,3101,8.29,19,8,2.38,22,102.81
T.Tagovailoa,367,260,70.84,2660,7.25,20,15,1.33,30,92.46
J.McCarthy,231,140,60.61,1632,7.06,11,12,0.92,27,76.25
C.Williams,644,377,58.54,4560,7.08,31,12,2.58,25,88.65
J.Daniels,183,114,62.3,1262,6.9,8,3,2.67,18,90.47
R.Wilson,116,69,59.48,831,7.16,3,3,1.0,10,79.35
J.Fields,201,128,63.68,1259,6.26,7,1,7.0,27,90.79
A.Rodgers,521,344,66.03,3468,6.66,24,8,3.0,33,93.8
S.Darnold,476,335,70.38,4172,8.76,26,14,1.86,29,103.2
B.Purdy,329,230,69.91,2569,7.81,22,13,1.69,14,98.7
M.Penix,273,166,60.81,1982,7.26,9,3,3.0,13,89.42
B.Mayfield,531,343,64.6,3693,6.95,26,11,2.36,36,92.58
C.Ward,530,323,60.94,3169,5.98,15,7,2.14,55,81.71
B.Nix,645,414,64.19,4210,6.53,28,12,2.33,22,89.49
T.Taylor,128,80,62.5,779,6.09,5,5,1.0,14,76.27
D.Gabriel,182,110,60.44,937,5.15,7,2,3.5,19,82.14
J.Browning,117,81,69.23,771,6.59,6,8,0.75,9,75.84
M.Jones,284,203,71.48,2155,7.59,13,6,2.17,16,99.72
K.Cousins,261,166,63.6,1721,6.59,10,5,2.0,13,87.35
C.Wentz,163,110,67.48,1216,7.46,6,5,1.2,19,88.89
M.Mariota,218,139,63.76,1695,7.78,10,7,1.43,16,89.53
T.Shough,318,221,69.5,2384,7.5,10,6,1.67,31,93.85
J.Dart,333,216,64.86,2272,6.82,15,5,3.0,35,93.32
D.Mills,158,91,57.59,915,5.79,5,1,5.0,8,82.12
J.Brissett,476,315,66.18,3366,7.07,23,8,2.88,43,95.8
S.Sanders,202,120,59.41,1400,6.93,7,10,0.7,23,71.39
B.Cook,146,88,60.27,739,5.06,2,7,0.29,19,57.99
