qb_name,total_plays,touchdowns,td_rate,pass_attempts,interceptions,int_rate,avg_depth_of_target,completion_rate,avg_epa,success_rate
A.Dalton,24,5,20.83,24,0,0.0,4.0,54.17,0.1822,33.33
A.O'Connell,34,6,17.65,32,1,3.12,5.71,50.0,-0.0814,44.12
A.Richardson,45,9,20.0,24,2,8.33,6.36,33.33,-0.083,46.67
A.Rodgers,96,20,20.83,94,2,2.13,4.02,47.87,-0.2153,42.71
B.Mayfield,104,34,32.69,94,2,2.13,3.78,67.02,0.1948,51.92
B.Nix,101,27,26.73,82,1,1.22,5.35,60.98,0.1419,51.49
B.Purdy,101,22,21.78,86,1,1.16,4.33,58.14,0.1095,44.55
B.Young,74,16,21.62,64,1,1.56,6.22,50.0,0.0929,41.89
C.Rush,39,10,25.64,34,2,5.88,4.52,50.0,-0.1981,41.03
C.Stroud,90,17,18.89,81,0,0.0,4.65,46.91,-0.1353,31.11
C.Williams,95,13,13.68,84,0,0.0,6.26,42.86,0.0339,38.95
D.Carr,40,9,22.5,36,0,0.0,4.0,52.78,-0.1219,35.0
D.Jones,57,8,14.04,42,3,7.14,3.82,40.48,-0.5172,31.58
D.Lock,20,4,20.0,18,0,0.0,5.5,38.89,0.2449,40.0
D.Maye,55,11,20.0,50,2,4.0,4.68,44.0,-0.0814,45.45
D.Prescott,41,8,19.51,39,2,5.13,7.0,43.59,-0.4455,31.71
D.Thompson-Robinson,13,0,0.0,11,1,9.09,5.82,18.18,-1.009,15.38
D.Watson,27,5,18.52,22,0,0.0,7.22,50.0,0.1885,48.15
G.Minshew,50,7,14.0,48,1,2.08,4.97,35.42,-0.3817,36.0
G.Smith,74,16,21.62,66,5,7.58,5.36,48.48,-0.2838,39.19
J.Allen,131,34,25.95,90,1,1.11,5.22,45.56,0.2659,48.85
J.Brissett,34,2,5.88,31,0,0.0,5.54,48.39,-0.2986,32.35
J.Burrow,144,31,21.53,138,0,0.0,4.4,55.07,0.1335,47.22
J.Daniels,153,29,18.95,102,1,0.98,4.23,52.94,0.1619,43.79
J.Fields,40,9,22.5,23,0,0.0,5.55,56.52,-0.0507,45.0
J.Flacco,49,9,18.37,47,0,0.0,6.82,48.94,0.1454,32.65
J.Goff,123,25,20.33,113,2,1.77,2.95,61.95,0.1137,43.9
J.Herbert,80,14,17.5,72,0,0.0,5.67,41.67,-0.0629,36.25
J.Hurts,126,33,26.19,66,3,4.55,5.08,56.06,0.0741,45.24
J.Love,96,21,21.88,85,2,2.35,5.58,60.0,0.1324,42.71
J.Winston,43,7,16.28,40,2,5.0,7.53,30.0,-0.0138,37.21
K.Cousins,54,10,18.52,51,1,1.96,5.32,49.02,-0.138,33.33
K.Murray,91,19,20.88,76,1,1.32,4.9,60.53,0.1216,45.05
L.Jackson,105,39,37.14,83,2,2.41,5.9,60.24,0.4486,50.48
M.Jones,37,7,18.92,35,0,0.0,4.93,48.57,0.0959,37.84
M.Penix,18,3,16.67,16,1,6.25,7.69,50.0,0.4037,50.0
M.Rudolph,38,9,23.68,34,2,5.88,3.77,50.0,-0.2037,36.84
M.Stafford,107,20,18.69,97,1,1.03,4.43,48.45,-0.1818,33.64
P.Mahomes,150,29,19.33,134,2,1.49,2.68,58.21,0.0361,43.33
R.Wilson,63,13,20.63,53,2,3.77,5.84,47.17,-0.1211,38.1
S.Darnold,111,27,24.32,104,4,3.85,4.22,61.54,-0.0315,44.14
S.Rattler,15,3,20.0,15,0,0.0,3.5,53.33,0.0002,46.67
T.Huntley,26,5,19.23,23,1,4.35,5.0,34.78,-0.0877,30.77
T.Lawrence,46,12,26.09,42,1,2.38,7.08,38.1,0.0849,43.48
T.Tagovailoa,67,16,23.88,65,1,1.54,2.36,63.08,0.3898,52.24
W.Levis,37,6,16.22,30,0,0.0,5.32,36.67,-0.3416,35.14
